sets_won,sets_lost,matches_won,matches_lost,set_win_ratio,match_win_ratio,mean_win_ratio
61,20,19,3,0.7530864197530864,0.8636363636363636,0.808361391694725
63,30,18,6,0.6774193548387096,0.75,0.7137096774193548
56,28,16,6,0.6666666666666666,0.7272727272727273,0.696969696969697
55,44,16,8,0.5555555555555556,0.6666666666666666,0.6111111111111112
57,39,15,9,0.59375,0.625,0.609375
43,55,10,14,0.4387755102040816,0.4166666666666667,0.42772108843537415
33,50,7,15,0.39759036144578314,0.3181818181818182,0.35788608981380066
31,55,6,16,0.36046511627906974,0.2727272727272727,0.3165961945031712
19,57,5,17,0.25,0.22727272727272727,0.23863636363636365
23,63,2,20,0.26744186046511625,0.09090909090909091,0.17917547568710357
